Year Released,Album Length,Album Name,Artist
2020,58.39,Man On The Moon III: The Chosen,Kid Cudi
2016,87.0,"Passion, Pain & Demon Slayin'",Kid Cudi
2015,91.57,Speedin' Bullet 2 Heaven,Kid Cudi
2014,41.24,KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon,Kid Cudi
2013,70.89,Indicud,Kid Cudi
2010,62.04,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi
2009,58.62,Man On The Moon: The End Of Day,Kid Cudi
2009,68.16,Man On The Moon: The End Of Day (Deluxe),Kid Cudi
2022,33.7,BETTER THAN YOU,DaBaby
2020,59.88,BLAME IT ON BABY (DELUXE),DaBaby
2020,33.66,BLAME IT ON BABY,DaBaby
2019,35.26,KIRK,DaBaby
2019,31.69,Baby On Baby,DaBaby
2018,24.01,Blank Blank,DaBaby
2018,25.13,Baby Talk 5,DaBaby
2017,25.05,Back On My Baby Jesus Sh!t,DaBaby
2017,33.27,Billion Dollar Baby,DaBaby
2016,32.36,God's Work Resurrected,DaBaby
2022,91.8,Shiesty Season: Certified,Pooh Shiesty
2021,60.88,Shiesty Season - Spring Deluxe,Pooh Shiesty
2021,49.0,Shiesty Season,Pooh Shiesty
2020,59.33,Demons R Us,Doe Boy
2020,19.97,Blood On The Hills,Pyrex
2018,46.79,Swervo,G Herbo
2018,61.88,Trap Ye Season 2,Southside
2022,40.74,Street Poetry,Hunxho
2021,47.43,Street Poet 2,Hunxho
2020,26.01,Street Poet,Hunxho
2018,39.85,Suicide & Murder,Hunxho
2018,24.12,True Story,Hunxho
2017,27.05,Hunxhoseason,Hunxho
2022,35.89,It's Almost Dry: Pharrell vs. Ye,Pusha T
2022,35.89,It's Almost Dry: Ye vs. Pharrell,Pusha T
2022,35.89,It's Almost Dry,Pusha T
2018,21.17,DAYTONA,Pusha T
2015,33.29,King Push – Darkest Before Dawn: The Prelude,Pusha T
2014,24.23,Spotify Sessions,Pusha T
2014,46.48,My Name Is My Name,Pusha T
2013,46.45,My Name Is My Name,Pusha T
2011,45.21,Fear of God II: Let Us Pray,Pusha T
2022,82.94,Yellow Tape 2 (Deluxe),Key Glock
2021,53.57,Yellow Tape 2,Key Glock
2021,61.9,Dum and Dummer 2,Young Dolph
2020,43.4,Son Of A Gun,Key Glock
2020,45.58,Yellow Tape,Key Glock
2019,60.51,Dum and Dummer,Young Dolph
2018,37.15,Glockoma,Key Glock
2018,47.17,Glock Bond,Key Glock
2017,37.06,Glock Season,Key Glock
2022,38.4,Last Ones Left,42 Dugg
2021,67.46,Free Dem Boyz (Deluxe),42 Dugg
2021,49.09,Free Dem Boyz,42 Dugg
2020,54.32,Young & Turnt 2 (Deluxe),42 Dugg
2020,29.94,Young & Turnt 2,42 Dugg
2019,33.69,Young and Turnt,42 Dugg
2019,33.79,Young And Turnt,42 Dugg
2021,64.96,Destined 2 Win,Lil Tjay
2020,22.35,State of Emergency,Lil Tjay
2019,55.93,True 2 Myself,Lil Tjay
2020,57.18,Merry Christmas Lil Mama: The Gift That Keeps On Giving,Chance the Rapper
2019,77.37,The Big Day,Chance the Rapper
2016,57.35,Coloring Book,Chance the Rapper
2013,50.36,Acid Rap,Chance the Rapper
2012,51.68,10 Day,Chance the Rapper
2018,52.41,TESTING,A$AP Rocky
2015,66.29,AT.LONG.LAST.A$AP,A$AP Rocky
2013,69.28,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky
2011,49.21,LIVE.LOVE.A$AP,A$AP Rocky
2018,27.4,Foolhardy,Co Cash
2022,50.13,The Lobby Boyz,Lobby Boyz
2022,78.82,Gangsta Grillz: We Set the Trends,Jim Jones
2021,31.25,The Fraud Department,Jim Jones
2020,104.63,El Capo (Deluxe),Jim Jones
2019,58.38,El Capo,Jim Jones
2018,55.79,Wasted Talent,Jim Jones
2015,51.78,Miami Vampin,Jim Jones
2014,39.0,We Own The Night Pt. 2: Memoirs Of A Hustler,Jim Jones
2013,80.02,The Ghost of Rich Porter,Jim Jones
2013,65.33,Vampire Life 2,Jim Jones
2013,65.2,Vampire Life 3,Jim Jones
2013,67.99,Vampire Life,Jim Jones
2011,80.92,Nocturnal,Jim Jones
2011,51.65,Capo,Jim Jones
2010,59.73,The Capo Chronicles,Jim Jones
2010,61.63,Sorority Row (Music From The Original Motion Picture Score),Vivian Green
2009,70.73,Pray IV Reign,Jim Jones
2009,36.86,Risky Business,Jim Jones
2009,79.75,Street Religion: Heron 3: 16,Jim Jones
2008,60.07,A Tribute To Bad Santa Starring Mike Epps,Jim Jones
2008,79.15,Street Religion: Love Me No More Edition,Jim Jones
2007,41.41,A Dipset Christmas,Jim Jones
2007,91.55,Hustler's P.o.m.e. (Deluxe Edition),Jim Jones
2006,41.41,A Dipset Christmas,Jim Jones
2006,76.38,Hustler's P.O.M.E. (Product Of My Environment),Jim Jones
2006,78.02,DJ Drama & Jim Jones: The Seven Day Theory,Jim Jones
2006,79.69,M.O.B. Members of Byrdgang,Jim Jones
2005,56.94,Harlem - Diary Of A Summer,Jim Jones
2005,54.84,The Owner's Manual,Jim Jones
2005,73.22,City of God,Jim Jones
2004,72.15,"The Diplomats Present Jim Jones, Ghetto Advocate - On My Way to Church",Jim Jones
2004,79.89,Ambitionz of a Gangsta,Jim Jones
2004,85.85,Ryder Musik (Special Edition),Jim Jones
2021,37.17,FOR CERTAIN (Deluxe),BIA
2020,21.0,FOR CERTAIN,BIA
2022,32.89,777,Latto
2020,44.07,Queen of Da Souf (Extended Version) [Deluxe Version],Latto
2020,31.41,Queen of Da Souf,Latto
2018,33.2,Mulatto,Latto
2017,54.82,Latto Let 'Em Know,Latto
2016,30.52,Miss Mulatto,Latto
2021,45.04,Something for Thee Hotties,Megan Thee Stallion
2020,49.83,Good News,Megan Thee Stallion
2020,32.92,Suga (Chopnotslop Remix),Megan Thee Stallion
2020,24.54,Suga,Megan Thee Stallion
2019,40.17,Fever,Megan Thee Stallion
2018,30.28,Tina Snow,Megan Thee Stallion
2018,29.11,Make It Hot (ChopNotSlop Remix),Megan Thee Stallion
2017,23.93,Make It Hot,Megan Thee Stallion
2021,77.44,Beam Me Up Scotty,Nicki Minaj
2018,70.43,Queen (Deluxe),Nicki Minaj
2018,69.46,Queen,Nicki Minaj
2014,91.54,The Pinkprint (Deluxe Edition),Nicki Minaj
2014,78.17,The Pinkprint (Deluxe),Nicki Minaj
2014,67.01,The Pinkprint,Nicki Minaj
2012,79.31,Pink Friday ... Roman Reloaded (Deluxe Edition),Nicki Minaj
2012,101.72,Pink Friday: Roman Reloaded The Re-Up,Nicki Minaj
2012,76.01,Pink Friday ... Roman Reloaded (Deluxe),Nicki Minaj
2012,69.13,Pink Friday ... Roman Reloaded,Nicki Minaj
2011,69.13,Pink Friday ... Roman Reloaded,Nicki Minaj
2011,50.94,Pink Friday,Nicki Minaj
2010,81.09,Pink Friday (Complete Edition),Nicki Minaj
2010,69.33,Pink Friday (Deluxe Edition),Nicki Minaj
2010,50.94,Pink Friday,Nicki Minaj
